Product_Code,Product_Name,Product_Price,Manufacturer_Code
1,1 TB Hard Disk Drive,2500,1
2,Printer,6500,3
3,64 GB Pen Drive,700,6
4,6 GB Graphic Card,12800,5
5,22 Inches Monitor,10600,2
6,512 GB Solid State Drive,4200,1
7,Mouse,400,6
8,450 Watt Power Supply Unit,3600,4
9,Printer Cartridge,2500,3
10,Membrane Keyboard,900,4
11,Bluetooth Speakers,2000,10
12,42 Inches Television,24600,2
13,CPU  Cabinet,1900,6
14,Laptop Adjustable Stand,1250,7
15,8 GB RAM,2600,4
16,Motherboard,6500,8
17,Ergonomic Chair,9700,6
18,Monitor Arm Stand,2600,7
19,Wifi Adapter,300,9
20,HD Webcam,1000,8
